tren,celula
Tren Aplicaciones,CelulaTamesys
Tren Aplicaciones,CelulaAtlantisTelefonica
Tren Aplicaciones,CelulaYoiOwari
Tren Aplicaciones,CelulaSequoia
Tren Aplicaciones,CelulaRenew
Tren Aplicaciones,CelulaSoporteCasaCliente
Tren Shared Services e Infraestructura,CelulaAIOPS
Tren Shared Services e Infraestructura,CelulaMeraki
Tren Shared Services e Infraestructura,CelulaRadix
Producto B2B,CelulaInnovacionExperienciaClientesB2B
Producto B2B,CelulaDigitalizacionDeProcesos
Tren Propuesta de Valor,CelulaAxia
Tren E-commerce,CelulaVentasDigitalesPrepago
Tren E-care,CelulaBotana
CoE Data y Analítica,CelulaCoeDatayAnalitica
Tren Fareco,CelulaKodopco
Tren Fareco,CelulaBillingAndPayment
Operaciones Redes,CelulaAIOPSredes
Arquitectura,
Cloud,
Infraestructura,
